0;5
0.09819;5.015502
0.14883;5.001032
0.21601;4.98553
0.30076;4.949356
0.37414;4.91835
0.41445;4.90388
0.50954;4.89561
0.59532;4.89147
0.63976;4.88941
0.70694;4.873908
0.76999;4.870808
0.82683;4.870808
0.85577;4.879078
0.90745;4.889413
0.97876;4.894583
1.04284;4.881148
1.10072;4.855309
1.1462;4.82637
1.18857;4.8026
1.23715;4.781928
1.28366;4.757123
1.32087;4.739552
1.36221;4.728183
1.42009;4.726123
1.44283;4.728183
1.49967;4.719913
1.57925;4.699241
1.62576;4.685805
1.64953;4.684775
1.70637;4.685805
1.75598;4.682705
1.79835;4.681675
1.84589;4.684775
1.8893;4.684775
1.92547;4.671339
1.94407;4.661004
1.99265;4.647569
2.03399;4.644469
2.0743;4.627933
2.12391;4.605195
2.21796;4.587624
2.29547;4.587624
2.31511;4.586594
2.36162;4.592794
2.42467;4.581425
2.44534;4.565923
2.47531;4.540084
2.51045;4.519412
2.54972;4.50391
2.6262;4.50081
2.726452;4.50804
2.776062;4.5101
2.843242;4.51216
2.902152;4.475986
2.936262;4.436712
2.959252;4.414588
3.017712;4.408738
3.17703;4.411658
3.22819;4.436505
3.27204;4.440885
3.32466;4.437965
